.NET Analyzers,https://github.com/DotNetAnalyzers,An organization for the development of analyzers (diagnostics and code fixes) using the .NET Compiler Platform,csharp,N,1371694,6400887,
abaplint,https://abaplint.org/,"Linter for ABAP, written in TypeScript.",abap,N,8288016,2473770,
abapOpenChecks,https://docs.abapopenchecks.org/,Enhances the SAP Code Inspector with new and customizable checks,abap,N,1086349,2586947,
aether,http://aetherjs.com/,"Lint, analyze, normalize, transform, sandbox, run, step through, and visualize user JavaScript, in node or the browser.",javascript,N,1179914,7690259,
After the Deadline,https://afterthedeadline.com/,"Spell, style and grammar checker.",writing,N,3417901,1355368,
ale,https://github.com/w0rp/ale,Asynchronous Lint Engine for Vim and NeoVim with support for many languages,ide,N,9557887,6449710,
alex,https://alexjs.com/,"Catch insensitive, inconsiderate writin",writing,N,1962219,1363611,
aligncheck,https://gitlab.com/opennota/check,Find inefficiently packed structs,go,N,1734372,4957681,
ameba,https://crystal-ameba.github.io/,A static code analysis tool for Crystal,crystal,N,1101836,6671966,
anchore,https://anchore.io/,"Discover, analyze, and certify container images.",container,N,6611941,3886425,
Android Lint,http://tools.android.com/tips/lint,Run static analysis on Android projects,mobile,N,1311531,9397978,
Android Studio,https://developer.android.com/studio,"Based on IntelliJ IDEA, and comes bundled with tools for Android including Android Lint.",ide,N,7024668,508301,
android-lint-summary,https://passy.github.io/android-lint-summary/,"Combines lint errors of multiple projects into one output, check lint results of multiple sub-projects at once.",mobile,N,2499797,5060688,
ansible-lint,https://docs.ansible.com/ansible-lint/,Checks playbooks for practices and behaviour that could potentially be improved,configmanagement,N,8907497,7184941,
AppChecker,https://npo-echelon.ru/en/solutions/appchecker.php,"Static analysis for C/C++/C#, PHP and Java.","c, cpp, java, php",Y,2562052,9556432,
Application Inspector,https://www.ptsecurity.com/ww-en/products/ai/,Commercial Static Code Analysis which generates exploits to verify vulnerabilities.,"asp, c, cpp, csharp, html, java, javascript, objectivec, php, sql, swift, vbnet",Y,666831,4275348,
ApplicationInspector,https://github.com/microsoft/ApplicationInspector,Creates reports of over 400 rule patterns for feature detection (e.g. the use of cryptography or version control in apps).,"c, cpp, csharp, go, html, java, javascript, objectivec, php, powershell, python, ruby",N,1807606,602682,
AppScan Source,https://www.hcltechsw.com/wps/portal/products/appscan/home,Commercial Static Code Analysis.,"asp, aspnet, c, csharp, cobol, coldfusion, cpp, java, javascript, jsp, mobile, perl, php, plsql, tsql, vbasic, vbnet, vbscript",Y,8017119,2885708,
ArchUnit,https://www.archunit.org/,Unit test your Java or Kotlin architecture,"java, kotlin",N,1396134,9035477,
ArchUnitNET,https://github.com/TNG/ArchUnitNET, A C# architecture test library to specify and assert architecture rules in C# for automated testing,csharp,N,2776415,597846,
Astrée,https://www.absint.com/astree/index.htm,"Sound static analyzer based on abstract interpretation for C/C++, detecting memory, type and concurrency defects, and MISRA violations.","c, cpp",Y,8871511,2686630,
Atom-Beautify,https://atom.io/packages/atom-beautify,"Beautify HTML, CSS, JavaScript, PHP, Python, Ruby, Java, C, C++, C#, Objective-C, CoffeeScript, TypeScript, Coldfusion, SQL, and more in Atom editor","html, css, javascript, php, python, ruby, java, c, cpp, csharp, objectivec, coffeescript, typescript, coldfusion, sql",N,5886615,5259993,
Attackflow Extension,https://www.attackflow.com/Extension,"Attackflow plugin for Visual Studio, which enables developers to find critical security bugs at real time in the source code without any prior knowledge.",ide,Y,4037428,5574023,
Axivion Bauhaus Suite,https://www.axivion.com/en/products-services-9#products_bauhaussuite,"Tracks down error-prone code locations, style violations, cloned or dead code, cyclic dependencies and more for C/C++, C#/.NET, Java and Ada 83/Ada 95.","c, cpp, java, php",Y,9628684,5224902,
bandit,https://bandit.readthedocs.io/en/latest/,A tool to find common security issues in Python code,python,N,1943350,2750432,
bellybutton,https://github.com/hchasestevens/bellybutton,A linting engine supporting custom project-specific rules,python,N,2513382,11087,
Better Code Hub,https://bettercodehub.com,"Better Code Hub checks your GitHub codebase against 10 engineering guidelines devised by the authority in software quality, Software Improvement Group","csharp, cpp, go, groovy, java, javascript, objectivec, perl, php, python, ruby, scala, shell, smart, swift, typescript, kotlin",Y,3219230,5191345,
BinSkim,https://github.com/Microsoft/binskim,A binary static analysis tool that provides security and correctness results for Windows portable executables,binary,N,9701504,2971251,
Black,https://black.readthedocs.io/en/stable/,The uncompromising Python code formatter,"python, formatter",N,1982114,6612438,
Black Duck,ttps://www.blackducksoftware.com,"Tool to analyze source code and binaries for reusable code, necessary licenses and potential security aspects",binary,Y,5708269,7045605,
bodyclose,https://github.com/timakin/bodyclose,Checks whether HTTP response body is closed,go,N,8802907,5358916,
Bootlint,https://github.com/twbs/bootlint,An HTML linter for Bootstrap projects,html,N,1715707,7715693,
brakeman,https://brakemanscanner.org/,A static analysis security vulnerability scanner for Ruby on Rails applications,"ruby, security",N,6163033,9848903,
brittany,https://github.com/lspitzner/brittany,Haskell source code formatte,haskell,N,3180152,4402428,
C2Rust,https://c2rust.com/,C2Rust helps you migrate C99-compliant code to Rust. The translator (or transpiler) produces unsafe Rust code that closely mirrors the input C code,rust,N,3827501,975322,
cane,https://github.com/square/cane,Code quality threshold checking as part of your build,ruby,N,4881425,9042626,
cargo-audit,https://rustsec.org/,Audit Cargo.lock for crates with security vulnerabilities reported to the [RustSec Advisory Database](https://github.com/RustSec/advisory-db/).,rust,N,9364353,3632334,
cargo-inspect,https://github.com/mre/cargo-inspect,Inspect Rust code without syntactic sugar to see what the compiler does behind the curtains,rust,N,1549931,5080529,
CAST Highlight,https://www.castsoftware.com/products/highlight,"Commercial Static Code Analysis which runs locally, but uploads the results to its cloud for presentation.","abap, c, cobol, cpp, csharp, java, javascript, jsp, php, plsql, python, tsql, vbasic",Y,6178623,7947769,
