CWE-ID,name,tool_name
14,Compiler Removal of Code to Clear Buffers,AppChecker
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),AppChecker
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),AppChecker
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),AppChecker
94,Improper Control of Generation of Code ('Code Injection'),AppChecker
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),AppChecker
103,Struts: Incomplete validate() Method Definition,AppChecker
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),AppChecker
114,Process Control,AppChecker
117,Improper Output Neutralization for Logs,AppChecker
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),AppChecker
121,Stack-based Buffer Overflow,AppChecker
125,Out-of-bounds Read,AppChecker
134,Uncontrolled Format String,AppChecker
135,Incorrect Calculation of Multi-Byte String Length,AppChecker
170,Improper Null Termination,AppChecker
194,Unexpected Sign Extension,AppChecker
196,Unsigned to Signed Conversion Error,AppChecker
197,Numeric Truncation Error,AppChecker
209,Information Exposure Through an Error Message,AppChecker
213,Intentional Information Exposure,AppChecker
215,Information Exposure Through Debug Information,AppChecker
242,Use of Inherently Dangerous Function,AppChecker
245,J2EE Bad Practices: Direct Management of Connections,AppChecker
252,Unchecked Return Value,AppChecker
253,Incorrect Check of Function Return Value,AppChecker
259,Use of Hard-coded Password,AppChecker
275,Permission Issues,AppChecker
312,Cleartext Storage of Sensitive Information,AppChecker
327,Use of a Broken or Risky Cryptographic Algorithm,AppChecker
337,Predictable Seed in PRNG,AppChecker
347,Improper Verification of Cryptographic Signature,AppChecker
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),AppChecker
369,Divide By Zero,AppChecker
375,Returning a Mutable Object to an Untrusted Caller,AppChecker
388,Error Handling,AppChecker
390,Detection of Error Condition Without Action,AppChecker
391,Unchecked Error Condition,AppChecker
395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,AppChecker
397,Declaration of Throws for Generic Exception,AppChecker
398,Indicator of Poor Code Quality,AppChecker
401,Improper Release of Memory Before Removing Last Reference ('Memory Leak'),AppChecker
404,Improper Resource Shutdown or Release,AppChecker
415,Double Free,AppChecker
428,Unquoted Search Path or Element,AppChecker
467,Use of sizeof() on a Pointer Type,AppChecker
468,Incorrect Pointer Scaling,AppChecker
476,NULL Pointer Dereference,AppChecker
477,Use of Obsolete Functions,AppChecker
478,Missing Default Case in Switch Statement,AppChecker
480,Use of Incorrect Operator,AppChecker
481,Assigning instead of Comparing,AppChecker
482,Comparing instead of Assigning,AppChecker
484,Omitted Break Statement in Switch,AppChecker
486,Comparison of Classes by Name,AppChecker
491,Public cloneable() Method Without Final ('Object Hijack'),AppChecker
497,Exposure of System Data to an Unauthorized Control Sphere,AppChecker
500,Public Static Field Not Marked Final,AppChecker
506,Embedded Malicious Code,AppChecker
511,Logic/Time Bomb,AppChecker
526,Information Exposure Through Environmental Variables,AppChecker
545,Use of Dynamic Class Loading,AppChecker
557,Concurrency Issues,AppChecker
561,Dead Code,AppChecker
562,Return of Stack Variable Address,AppChecker
568,finalize() Method Without super.finalize(),AppChecker
569,Expression Issues,AppChecker
570,Expression is Always False,AppChecker
571,Expression is Always True,AppChecker
580,clone() method does not call super.clone(),AppChecker
581,Object Model Violation: Just One of Equals and Hashcode Defined,AppChecker
582,"Array Declared Public, Final, and Static",AppChecker
583,finalize() Method Declared Public,AppChecker
584,Return Inside Finally Block,AppChecker
585,Empty Synchronized Block,AppChecker
586,Explicit Call to Finalize(),AppChecker
587,Assignment of a Fixed Address to a Pointer,AppChecker
590,Free of Memory not on the Heap,AppChecker
606,Unchecked Input for Loop Condition,AppChecker
609,Double-Checked Locking,AppChecker
617,Reachable Assertion,AppChecker
628,Function Call with Incorrectly Specified Arguments,AppChecker
648,Incorrect Use of Privileged APIs,AppChecker
662,Improper Synchronization,AppChecker
674,Uncontrolled Recursion,AppChecker
682,Incorrect Calculation,AppChecker
683,Function Call With Incorrect Order of Arguments,AppChecker
691,Insufficient Control Flow Management,AppChecker
697,Insufficient Comparison,AppChecker
730,OWASP Top Ten 2004 Category A9 - Denial of Service,AppChecker
759,Use of a One-Way Hash without a Salt,AppChecker
770,Allocation of Resources Without Limits or Throttling,AppChecker
780,Use of RSA Algorithm without OAEP,AppChecker
798,Use of Hard-coded Credentials,AppChecker
806,Buffer Access Using Size of Source Buffer,AppChecker
835,Loop with Unreachable Exit Condition ('Infinite Loop'),AppChecker
858,CERT Java Secure Coding Section 13 - Serialization (SER),AppChecker
961,SFP Secondary Cluster: Incorrect Exception Behavior,AppChecker
0,Sink Point,clang-analyzer
0,Analyzer Statistics,clang-analyzer
788,Out-of-bound array access,clang-analyzer
788,Out-of-bound access,clang-analyzer
557,Call to blocking function in critical section,clang-analyzer
681,Assignment of a non-Boolean value,clang-analyzer
1006,API,clang-analyzer
788,Out-of-bound array access,clang-analyzer
476,Null pointer argument in call to byte string function,clang-analyzer
398,Anti-pattern in the argument,clang-analyzer
398,Anti-pattern in the argument,clang-analyzer
465,Receiver in message expression is 'nil',clang-analyzer
824,Subscript access on an uninitialized object pointer,clang-analyzer
824,Property access on an uninitialized object pointer,clang-analyzer
824,Receiver in message expression is an uninitialized value,clang-analyzer
476,Called C++ object pointer is null,clang-analyzer
824,Called C++ object pointer is uninitialized,clang-analyzer
824,Uninitialized argument value,clang-analyzer
476,Called function pointer is null (null dereference),clang-analyzer
824,Called function pointer is an uninitialized pointer value,clang-analyzer
704,Cast region with wrong size.,clang-analyzer
704,Widening cast to struct type,clang-analyzer
704,Cast from non-struct type to struct type,clang-analyzer
399,Mistaken dealloc,clang-analyzer
401,Missing ivar release (leak),clang-analyzer
389,Incompatible instance method return type,clang-analyzer
242,Potential insecure implementation-specific behavior in call 'vfork',clang-analyzer
338,'random' is not a secure random number generator,clang-analyzer
120,Potential insecure memory buffer bounds restriction in call 'strcat',clang-analyzer
120,Potential insecure memory buffer bounds restriction in call 'strcpy',clang-analyzer
378,Insecure temporary file creation,clang-analyzer
378,Potential insecure temporary file in call 'mktemp',clang-analyzer
242,Potential buffer overflow in call to 'getpw',clang-analyzer
242,Potential buffer overflow in call to 'gets',clang-analyzer
477,Use of deprecated function in call to 'bzero()',clang-analyzer
477,Use of deprecated function in call to 'bcopy()',clang-analyzer
477,Use of deprecated function in call to 'bcmp()',clang-analyzer
467,Potential unintended use of sizeof() on pointer type,clang-analyzer
243,Break out of jail,clang-analyzer
1041,Suspicious code clone,clang-analyzer
1041,Exact code clone,clang-analyzer
681,Conversion,clang-analyzer
1079,Destruction of a polymorphic object with no virtual destructor,clang-analyzer
824,Dereference of undefined pointer value,clang-analyzer
476,Dereference of null pointer,clang-analyzer
1006,Property access,clang-analyzer
136,Dynamic and static type mismatch,clang-analyzer
704,Generics,clang-analyzer
