CWE-ID,Name,Weakness Abstraction,Status,Description
15,External Control of System or Configuration Setting,Base,Incomplete,One or more system settings or configuration elements can be externally controlled by a user.
23,Relative Path Traversal,Base,Draft,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as .. that can resolve to a location that is outside of that directory."
36,Absolute Path Traversal,Base,Draft,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize absolute path sequences such as /abs/path that can resolve to a location that is outside of that directory."
41,Improper Resolution of Path Equivalence,Base,Incomplete,The system or application is vulnerable to file system contents disclosure through path equivalence. Path equivalence involves the use of special characters in file and directory names. The associated manipulations are intended to generate multiple names for the same object.
59,Improper Link Resolution Before File Access ('Link Following'),Base,Draft,"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
66,Improper Handling of File Names that Identify Virtual Resources,Base,Draft,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file."
73,External Control of File Name or Path,Base,Draft,The software allows user input to control or influence paths or file names that are used in filesystem operations.
76,Improper Neutralization of Equivalent Special Elements,Base,Draft,"The software properly neutralizes certain special elements, but it improperly neutralizes equivalent special elements."
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Base,Stable,"The software constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Base,Stable,The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,Draft,"The software constructs a string for a command to executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Base,Stable,"The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),Base,Draft,"The software constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component."
91,XML Injection (aka Blind XPath Injection),Base,Draft,"The software does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system."
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),Base,Draft,"The software uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs."
94,Improper Control of Generation of Code ('Code Injection'),Base,Draft,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),Base,Draft,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before inserting the input into an executable resource, such as a library, configuration file, or template."
112,Missing XML Validation,Base,Draft,The software accepts XML from an untrusted source but does not validate the XML against the proper schema.
115,Misinterpretation of Input,Base,Incomplete,"The software misinterprets an input, whether from an attacker or another product, in a security-relevant fashion."
