.NET Analyzers,https://github.com/DotNetAnalyzers,An organization for the development of analyzers (diagnostics and code fixes) using the .NET Compiler Platform,csharp,1045332,5630355,
abaplint,https://abaplint.org/,"Linter for ABAP, written in TypeScript.",abap,5574954,530566,
abapOpenChecks,https://docs.abapopenchecks.org/,Enhances the SAP Code Inspector with new and customizable checks,abap,3040595,3964716,
aether,http://aetherjs.com/,"Lint, analyze, normalize, transform, sandbox, run, step through, and visualize user JavaScript, in node or the browser.",javascript,2666503,6571574,
After the Deadline,https://afterthedeadline.com/,"Spell, style and grammar checker.",writing,767631,1072860,
ale,https://github.com/w0rp/ale,Asynchronous Lint Engine for Vim and NeoVim with support for many languages,ide,1745455,6530449,
alex,https://alexjs.com/,"Catch insensitive, inconsiderate writin",writing,7373940,2668048,
aligncheck,https://gitlab.com/opennota/check,Find inefficiently packed structs,go,1767634,7128920,
ameba,https://crystal-ameba.github.io/,A static code analysis tool for Crystal,crystal,6334018,9437506,
anchore,https://anchore.io/,"Discover, analyze, and certify container images.",container,3282536,524306,
Android Lint,http://tools.android.com/tips/lint,Run static analysis on Android projects,mobile,4639629,2335442,
Android Studio,https://developer.android.com/studio,"Based on IntelliJ IDEA, and comes bundled with tools for Android including Android Lint.",ide,6391488,8673716,
android-lint-summary,https://passy.github.io/android-lint-summary/,"Combines lint errors of multiple projects into one output, check lint results of multiple sub-projects at once.",mobile,2597700,2496512,
ansible-lint,https://docs.ansible.com/ansible-lint/,Checks playbooks for practices and behaviour that could potentially be improved,configmanagement,2201037,4894370,
AppChecker,https://npo-echelon.ru/en/solutions/appchecker.php,"Static analysis for C/C++/C#, PHP and Java.","c, cpp, java, php",7119762,4514402,
Application Inspector,https://www.ptsecurity.com/ww-en/products/ai/,Commercial Static Code Analysis which generates exploits to verify vulnerabilities.,"asp, c, cpp, csharp, html, java, javascript, objectivec, php, sql, swift, vbnet",4204038,1975279,
ApplicationInspector,https://github.com/microsoft/ApplicationInspector,Creates reports of over 400 rule patterns for feature detection (e.g. the use of cryptography or version control in apps).,"c, cpp, csharp, go, html, java, javascript, objectivec, php, powershell, python, ruby",6582165,7920531,
AppScan Source,https://www.hcltechsw.com/wps/portal/products/appscan/home,Commercial Static Code Analysis.,"asp, aspnet, c, csharp, cobol, coldfusion, cpp, java, javascript, jsp, mobile, perl, php, plsql, tsql, vbasic, vbnet, vbscript",8396674,1051028,
ArchUnit,https://www.archunit.org/,Unit test your Java or Kotlin architecture,"java, kotlin",7285910,992630,
ArchUnitNET,https://github.com/TNG/ArchUnitNET, A C# architecture test library to specify and assert architecture rules in C# for automated testing,csharp,3366642,5308804,
Astrée,https://www.absint.com/astree/index.htm,"Sound static analyzer based on abstract interpretation for C/C++, detecting memory, type and concurrency defects, and MISRA violations.","c, cpp",6899701,8940232,
Atom-Beautify,https://atom.io/packages/atom-beautify,"Beautify HTML, CSS, JavaScript, PHP, Python, Ruby, Java, C, C++, C#, Objective-C, CoffeeScript, TypeScript, Coldfusion, SQL, and more in Atom editor","html, css, javascript, php, python, ruby, java, c, cpp, csharp, objectivec, coffeescript, typescript, coldfusion, sql",5236365,572772,
Attackflow Extension,https://www.attackflow.com/Extension,"Attackflow plugin for Visual Studio, which enables developers to find critical security bugs at real time in the source code without any prior knowledge.",ide,1569630,552629,
